,accountId,championId,currentAccountId,currentPlatformId,highestAchievedSeasonTier,matchHistoryUri,participantId,platformId,profileIcon,spell1Id,spell2Id,stats_assists,stats_champLevel,stats_combatPlayerScore,stats_damageDealtToObjectives,stats_damageDealtToTurrets,stats_damageSelfMitigated,stats_deaths,stats_doubleKills,stats_firstBloodAssist,stats_firstBloodKill,stats_firstTowerAssist,stats_firstTowerKill,stats_goldEarned,stats_goldSpent,stats_inhibitorKills,stats_item0,stats_item1,stats_item2,stats_item3,stats_item4,stats_item5,stats_item6,stats_killingSprees,stats_kills,stats_largestCriticalStrike,stats_largestKillingSpree,stats_largestMultiKill,stats_longestTimeSpentLiving,stats_magicDamageDealt,stats_magicDamageDealtToChampions,stats_magicalDamageTaken,stats_neutralMinionsKilled,stats_neutralMinionsKilledEnemyJungle,stats_neutralMinionsKilledTeamJungle,stats_objectivePlayerScore,stats_participantId,stats_pentaKills,stats_perk0,stats_perk0Var1,stats_perk0Var2,stats_perk0Var3,stats_perk1,stats_perk1Var1,stats_perk1Var2,stats_perk1Var3,stats_perk2,stats_perk2Var1,stats_perk2Var2,stats_perk2Var3,stats_perk3,stats_perk3Var1,stats_perk3Var2,stats_perk3Var3,stats_perk4,stats_perk4Var1,stats_perk4Var2,stats_perk4Var3,stats_perk5,stats_perk5Var1,stats_perk5Var2,stats_perk5Var3,stats_perkPrimaryStyle,stats_perkSubStyle,stats_physicalDamageDealt,stats_physicalDamageDealtToChampions,stats_physicalDamageTaken,stats_playerScore0,stats_playerScore1,stats_playerScore2,stats_playerScore3,stats_playerScore4,stats_playerScore5,stats_playerScore6,stats_playerScore7,stats_playerScore8,stats_playerScore9,stats_quadraKills,stats_sightWardsBoughtInGame,stats_statPerk0,stats_statPerk1,stats_statPerk2,stats_timeCCingOthers,stats_totalDamageDealt,stats_totalDamageDealtToChampions,stats_totalDamageTaken,stats_totalHeal,stats_totalMinionsKilled,stats_totalPlayerScore,stats_totalScoreRank,stats_totalTimeCrowdControlDealt,stats_totalUnitsHealed,stats_tripleKills,stats_trueDamageDealt,stats_trueDamageDealtToChampions,stats_trueDamageTaken,stats_turretKills,stats_unrealKills,stats_visionScore,stats_visionWardsBoughtInGame,stats_wardsKilled,stats_wardsPlaced,stats_win,summonerId,summonerName,teamId,timeline_creepsPerMinDeltas_0-10,timeline_creepsPerMinDeltas_10-20,timeline_csDiffPerMinDeltas_0-10,timeline_csDiffPerMinDeltas_10-20,timeline_damageTakenDiffPerMinDeltas_0-10,timeline_damageTakenDiffPerMinDeltas_10-20,timeline_damageTakenPerMinDeltas_0-10,timeline_damageTakenPerMinDeltas_10-20,timeline_goldPerMinDeltas_0-10,timeline_goldPerMinDeltas_10-20,timeline_lane,timeline_participantId,timeline_role,timeline_xpDiffPerMinDeltas_0-10,timeline_xpDiffPerMinDeltas_10-20,timeline_xpPerMinDeltas_0-10,timeline_xpPerMinDeltas_10-20
0,ZPs_PFiB7MCvKYnap9KIXbH8RNS3St1dAYPfrxypaV2vxQ,67,ZPs_PFiB7MCvKYnap9KIXbH8RNS3St1dAYPfrxypaV2vxQ,NA1,CHALLENGER,/v1/stats/player_history/NA/33238872,1,NA,3440,4,7,4,12,0,2861,1771,4274,3,0,False,False,False,False,8591,7350,0,3153,1055,3006,1037,1033,1043,3363,2,7,0,3,1,539,253,253,6461,16,0,13,0,1,0,8005,800,553,247,9111,575,220,0,9104,16,0,0,8014,209,0,0,8275,4,0,0,8233,9,40,0,8000,8200,60928,10490,3994,0,0,0,0,0,0,0,0,0,0,0,0,5005,5008,5002,10,68587,12414,10806,2445,129,0,0,181,3,0,7405,1670,350,0,0,14,1,1,6,True,x-NJeeXfBxCCn9UcaWw26CjIAIQOBji00DQKltmEjr2aKIg,Johnsun,100,5.9,6.7,-0.75,0.7,-93.44999999999999,-246.35000000000008,306.2,670.0,279.0,454.79999999999995,BOTTOM,1,DUO_CARRY,-51.999999999999986,211.94999999999996,323.9,546.5999999999999
1,hHXHCXvhVMduVosw6G2TZ40zgabF0EquhpcZy1LTn5BFIQ,3,hHXHCXvhVMduVosw6G2TZ40zgabF0EquhpcZy1LTn5BFIQ,NA1,,/v1/stats/player_history/NA/31620973,2,NA,23,4,12,7,13,0,2977,2977,9671,1,0,False,False,False,False,9713,8700,0,3152,1056,2055,3041,3165,3020,3340,2,8,0,5,1,746,99313,19671,295,2,2,0,0,2,0,8439,577,0,0,8401,395,0,0,8444,780,0,0,8453,139,365,0,8226,250,536,0,8233,13,30,0,8400,8200,4525,255,10354,0,0,0,0,0,0,0,0,0,0,0,0,5008,5008,5003,31,109765,20204,12235,0,172,0,0,167,0,0,5926,278,1584,1,0,11,2,1,7,True,-pPcbaW-B_C6XF5ey3NMy8Tpn2UjOmts1LogHAAx9gwX,VVanderer,100,8.2,8.7,2.9000000000000004,0.2999999999999998,-190.8,-394.50000000000006,416.3,605.2,353.6,516.5,MIDDLE,2,SOLO,167.10000000000002,43.400000000000006,502.20000000000005,535.4
2,uSLcGH8sDyRtlkh3vbk1sNZH3a8BQUcIRy8TMtqUnOWOpQ,78,uSLcGH8sDyRtlkh3vbk1sNZH3a8BQUcIRy8TMtqUnOWOpQ,NA1,MASTER,/v1/stats/player_history/NA1/44252379,3,NA1,3478,4,12,3,13,0,4967,4967,8677,0,0,False,False,False,False,7587,6650,0,2033,3068,3024,3067,0,3047,3340,1,2,0,2,1,0,10480,1149,588,0,0,0,0,3,0,8437,352,245,0,8446,2422,0,0,8429,51,19,11,8451,132,0,0,8210,0,0,0,8226,250,212,0,8400,8200,63568,3833,6390,0,0,0,0,0,0,0,0,0,0,0,0,5007,5002,5002,12,77398,4983,7588,154,135,0,0,2113,1,0,3350,0,609,1,0,11,0,1,6,True,9EYom9UWXMaAZeL2nJhTAnuQlH_BKQeoY4uY6sH74USGDE8,Poppys Hammer,100,5.5,7.6,-2.1000000000000005,-0.7000000000000006,-78.59999999999998,-551.0,396.1,354.20000000000005,232.2,457.8,TOP,3,SOLO,16.00000000000003,61.69999999999996,441.70000000000005,541.5999999999999
3,5DDWnrkDGHaQLrGFLWuvTvrWhFnXmP9zggfP79hkOyUxLw,79,5DDWnrkDGHaQLrGFLWuvTvrWhFnXmP9zggfP79hkOyUxLw,NA1,CHALLENGER,/v1/stats/player_history/NA/37626283,4,NA,782,4,11,6,13,0,22232,198,8229,0,1,False,False,False,False,9467,8250,0,3157,3020,2055,1402,3916,0,3364,1,9,0,9,2,0,71979,10720,2087,92,4,52,0,4,0,8124,633,0,0,8143,376,0,0,8138,30,0,0,8105,14,5,0,8347,0,0,0,8313,0,0,0,8100,8300,20847,1450,10298,0,0,0,0,0,0,0,0,0,0,0,0,5005,5008,5002,19,102916,12787,12694,8466,23,0,0,612,1,0,10090,616,308,1,0,24,3,4,4,True,pR85iEjN2sno-KL3dfnjwTUICOOd94ZSse3M5OIPGSgWqzE,Sarcasm Orgasm,100,0.1,2.1,0.1,0.7000000000000001,-397.6,-275.1000000000001,529.3,676.9,384.5,453.5,JUNGLE,4,NONE,85.39999999999998,66.19999999999999,443.9,548.3
4,jG7tVA3DDBgiLMCef1BdPbOmN0kJEGXJ-sMD7jsBkdNsDA,43,jG7tVA3DDBgiLMCef1BdPbOmN0kJEGXJ-sMD7jsBkdNsDA,NA1,,/v1/stats/player_history/NA/32794420,5,NA,746,14,4,11,10,0,1085,1085,2546,4,0,False,False,False,False,5369,4650,0,3098,3020,2031,3174,2055,0,3364,0,0,0,0,0,445,15137,5663,4317,0,0,0,0,5,0,8214,558,381,0,8226,250,281,0,8233,16,40,0,8237,228,0,0,8345,4,0,0,8347,0,0,0,8200,8300,2802,646,2070,0,0,0,0,0,0,0,0,0,0,0,0,5008,5008,5002,10,18248,6618,6436,490,12,0,0,117,3,0,308,308,48,0,0,31,4,3,15,True,_o8p8t4_eIYkwXmKaJizIoyG4gC8e0L431AgK2g3fK-maNc,Aesthetic player,100,0.2,1.0,-0.75,0.7,-93.44999999999999,-246.35000000000008,279.3,232.89999999999998,165.4,283.1,BOTTOM,5,DUO_SUPPORT,-51.999999999999986,211.94999999999996,206.6,439.70000000000005
5,wdvD6hgqin5LK6EKbSeETT2FjGrS4uF0o-KU8OGV9WZblZQ,157,wdvD6hgqin5LK6EKbSeETT2FjGrS4uF0o-KU8OGV9WZblZQ,NA1,MASTER,/v1/stats/player_history/NA1/214238482,6,NA1,3847,12,4,0,12,0,4313,3594,9044,5,0,False,False,False,False,6813,6150,0,1055,2031,1055,3006,3046,3052,3340,0,0,356,0,0,366,6567,720,5344,4,4,0,0,6,0,8010,430,0,0,9111,0,0,0,9104,0,0,0,8014,47,0,0,8139,431,0,0,8135,388,0,0,8000,8100,86909,5600,8187,0,0,0,0,0,0,0,0,0,0,0,0,5005,5008,5001,14,102735,7169,14108,626,159,0,0,90,1,0,9258,848,576,1,0,8,0,0,6,False,BEqK35F5MVQ0i-rJpTcU-aPTAaT4Cf1pFOwaOnP3934DUvw,CatOnThyRoof,200,7.6,8.3,2.1000000000000005,0.7000000000000006,78.59999999999998,551.0,474.7,905.2,271.5,353.2,TOP,6,SOLO,-16.00000000000003,-61.69999999999996,425.7,479.9
6,7D0N2I5MWVotN6JhBLwyCUeqr2gl4D88gh6LkCLvf-x8QPU,141,7D0N2I5MWVotN6JhBLwyCUeqr2gl4D88gh6LkCLvf-x8QPU,NA1,MASTER,/v1/stats/player_history/NA1/237346536,7,NA1,3839,4,11,1,11,0,5018,0,9315,7,0,False,False,False,False,6340,5700,0,1412,2031,3044,3047,2055,3067,3364,0,0,0,0,0,243,6226,0,9134,112,8,91,0,7,0,8360,6,0,0,8304,10,0,0,8321,4,0,0,8347,0,0,0,8135,786,1,0,8143,142,0,0,8300,8100,91509,4548,10916,0,0,0,0,0,0,0,0,0,0,0,0,5008,5008,5001,7,103604,5322,20984,8275,14,0,0,338,1,0,5868,774,933,0,0,10,1,3,3,False,j1wdfGHKVF2qV6zGmgpbTubM-Slz39jtaLQKgB3g_kPGkHo,Metaphor,200,0.0,1.4,-0.1,-0.7000000000000001,397.6,275.1000000000001,926.9000000000001,952.0,263.4,314.0,JUNGLE,7,NONE,-85.39999999999998,-66.19999999999999,358.5,482.1
7,9-M3-ky_MWp07Hf8fY5FBkF8xUJQVfdDufL41azwost3DhU,84,9-M3-ky_MWp07Hf8fY5FBkF8xUJQVfdDufL41azwost3DhU,NA1,CHALLENGER,/v1/stats/player_history/NA1/202988570,8,NA1,2075,4,12,2,10,0,5465,1904,5548,3,0,False,True,False,True,7890,7245,0,3146,3191,2422,1054,1082,3916,3340,1,5,0,4,1,743,41981,8143,4937,0,0,0,0,8,0,8112,796,0,0,8143,403,0,0,8120,4,17,0,8135,904,2,0,8304,8,3,0,8345,4,0,0,8100,8300,14459,2056,7881,0,0,0,0,0,0,0,0,0,0,0,0,5008,5008,5002,5,64450,10199,13686,4937,133,0,0,60,1,0,8010,0,867,1,0,9,0,1,6,False,YeRcGRcS9LEiw2H8OKL74MNKHCO-fxMivUOB38X6CWzQ8-4,TF Blade,200,7.0,6.2,0.75,-0.7,93.44999999999999,246.35000000000008,461.4,730.4000000000001,383.3,347.0,BOTTOM,8,DUO_CARRY,51.999999999999986,-211.94999999999996,328.7,363.2
8,pVrxsCjVEVgNQfNcQona1QD-eu1fcS9_aGFlefBiHXIxfg,122,pVrxsCjVEVgNQfNcQona1QD-eu1fcS9_aGFlefBiHXIxfg,NA1,MASTER,/v1/stats/player_history/NA1/47863586,9,NA1,3860,6,4,0,11,0,2895,455,9542,5,0,False,False,False,False,6233,5775,0,1055,3071,2031,3067,3111,0,3340,0,1,0,0,1,430,0,0,13934,0,0,0,0,9,0,8010,129,0,0,9111,148,20,0,9104,0,0,0,8014,38,0,0,8473,623,0,0,8453,288,0,0,8000,8400,58616,3134,2958,0,0,0,0,0,0,0,0,0,0,0,0,5005,5008,5001,10,64581,3854,17153,322,137,0,0,68,1,0,5965,720,260,0,0,13,3,0,9,False,msGSeabwxjSXeg5jyl37_YdAv-i4vaJuTOb9vAGRT5upq_Q,Vchee,200,5.3,8.4,-2.9000000000000004,-0.2999999999999998,190.8,394.50000000000006,607.1,999.7,200.7,366.0,MIDDLE,9,SOLO,-167.10000000000002,-43.400000000000006,335.1,492.0
9,5XZ5b94ftOW9FO4xdfrepOyvWlWSyHRStjKPWAvROzNNMQ,25,5XZ5b94ftOW9FO4xdfrepOyvWlWSyHRStjKPWAvROzNNMQ,NA1,DIAMOND,/v1/stats/player_history/NA/39158418,10,NA,3859,14,4,5,9,0,2159,911,3039,6,0,False,False,True,False,5598,4650,0,3117,3098,3157,0,0,0,3364,0,2,0,0,1,595,9116,3479,6381,0,0,0,0,10,0,8214,556,278,0,8226,250,188,0,8210,0,0,0,8237,288,0,0,8313,0,0,0,8347,0,0,0,8200,8300,2332,317,4421,0,0,0,0,0,0,0,0,0,0,0,0,5008,5008,5001,29,13517,4354,11038,661,7,0,0,54,1,0,2068,558,235,0,0,23,2,1,16,False,EshGjqLRGS2JX2Cn7DEPDh4c9jjCIEpXrUER5TbVejvlphU,Synotic,200,0.6000000000000001,0.1,0.75,-0.7,93.44999999999999,246.35000000000008,311.0,665.2,201.1,295.4,BOTTOM,10,DUO_SUPPORT,51.999999999999986,-211.94999999999996,305.8,199.20000000000002
